movie_trailer,video_id,video_title,channel_name,channel_id,comment_count,view_count,like_count,date_published,Year
Dirty Grandpa Official Trailer,aZSzMIFZT7Q,"Dirty Grandpa Official Trailer #1 (2016) - Zac Efron, Robert De Niro Comedy HD",Movieclips Trailers,UCi8e0iOVk1fEOogdfu4YgfA,2093,14482006,46437,2015-10-29T16:15:17.000Z,2016
Yip Man 3 Official Trailer,_wUcbN34leM,"Ip Man 3 Official Trailer #1 (2016) Donnie Yen, Mike Tyson Action Movie HD",Zero Media,UCuuU2L90sqhQahV1IkhCPaQ,491,2277900,5281,2016-01-15T18:32:27.000Z,2016
Eden Official Trailer,WTDkuwS5axU,"Eden Official Trailer #1 (2013) - Jamie Chung, Beau Bridges Movie HD",Movieclips Trailers,UCi8e0iOVk1fEOogdfu4YgfA,322,658421,1364,2013-02-25T17:37:35.000Z,2016
Sharkskin Official Trailer,H8zKE_-kEDE,Sharkskin Trailer,Brandon Amelotte,UCA5igXK9eVJgMBCVVGmX5qA,2,730,4,2013-08-23T01:39:57.000Z,2016
13 Hours: The Secret Soldiers of Benghazi Official Trailer,5MBjAN7jqsQ,13 Hours The Secret Soldiers of Benghazi Official Trailer #1 (2016) Michael Bay Movie HD,Zero Media,UCuuU2L90sqhQahV1IkhCPaQ,3727,6394274,14997,2015-07-29T01:15:52.000Z,2016
The Lady in the Van Official Trailer,OA8tMziteZM,"The Lady in the Van Official UK Trailer #1 (2015) - Maggie Smith, James Corden Movie HD",Movieclips Trailers,UCi8e0iOVk1fEOogdfu4YgfA,448,1719140,6604,2015-02-26T16:28:15.000Z,2016
Ride Along 2 Official Trailer,iWfmmwdCHTg,Ride Along 2 - Official Trailer (HD),Universal Pictures,UCq0OueAsdxH6b8nyAspwViw,2579,14863533,48871,2015-08-13T15:58:33.000Z,2016
Norm of the North Official Trailer,u8A_F5oYJGI,Norm Of The North (2016) – Official Trailer,Lionsgate Movies,UCJ6nMHaJPZvsJ-HmUmj1SeA,0,2382637,0,2015-08-04T19:30:00.000Z,2016
The Masked Saint Official Trailer,htwBs6IpQlI,"The Masked Saint Official Trailer (2016) - Brett Granstaff, Lara Jean Chorostecki [HD]",FilmIsNow Movie Trailers International,UCVXO1_7BI7cCJFdIqXKGhuA,8,49350,139,2015-11-28T15:12:52.000Z,2016
The Forest Official Trailer,6hW8hUcXR-A,The Forest Official Trailer #1 (2016) Natalie Dormer Horror Movie HD,Zero Media,UCuuU2L90sqhQahV1IkhCPaQ,2644,6716059,20913,2015-09-30T18:51:46.000Z,2016
Adulterers Official Trailer,pzZBcaidTy8,"Adulterers Official Trailer 1 (2015) - Sean Faris, Danielle Savre Movie HD",Movieclips Indie,UCLyYEq4ODlw3OD9qhGqwimw,218,393836,989,2015-11-09T22:53:38.000Z,2016
